City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
319,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
325,Qui Nhon,VN,82.67,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
329,Mbour,SN,77.85,few clouds,14.422,-16.9638,Tama Lodge
331,Pakxan,LA,89.46,broken clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
334,Dingle,PH,84.74,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
335,Panama City,PA,79.18,overcast clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
336,Kununurra,AU,80.58,few clouds,-15.7667,128.7333,Hotel Kununurra
337,Mangrol,IN,81.97,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
339,Colares,PT,75.33,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
342,Aksu,CN,85.55,clear sky,41.1231,80.2644,Pudong Holiday Hotel
345,Gambela,ET,77.54,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
346,San Lawrenz,MT,76.86,clear sky,36.0553,14.204,San Andrea Hotel
347,Xuanhua,CN,78.06,overcast clouds,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
349,Korla,CN,89.11,broken clouds,41.7597,86.1469,Gulisitan Hotel
350,Zharkent,KZ,83.88,overcast clouds,44.1628,80.0,гостиница Satti
351,Hamilton,US,77.56,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
355,Davila,PH,87.78,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
359,Honiara,SB,84.31,clear sky,-9.4333,159.95,Heritage Park Hotel
363,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
365,Shingu,JP,85.57,broken clouds,33.7333,135.9833,Shingu UI Hotel
367,Weligama,LK,84.97,overcast clouds,5.9667,80.4167,Weligama Bay Resort
369,Tautira,PF,76.71,light rain,-17.7333,-149.15,Pension Oaoa
370,Russell,US,76.28,scattered clouds,32.3502,-85.1999,Macs
371,Kurumkan,RU,78.53,clear sky,54.3,110.3,Ilikchin
375,Izumo,JP,80.55,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
376,Payakumbuh,ID,83.07,light rain,-0.2202,100.6308,Dalimo Homestay
377,Katsuura,JP,80.62,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
379,Sweetwater,US,83.01,scattered clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
383,Pemangkat,ID,85.23,overcast clouds,1.1667,108.9667,Ramah Kost KITA
385,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
389,Maningrida,AU,84.76,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
392,Aswan,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
393,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
397,Khandyga,RU,80.37,broken clouds,62.6667,135.6,Apel'sin
399,Meulaboh,ID,85.59,heavy intensity rain,4.1363,96.1285,Kost Pria
402,Nishihara,JP,89.65,scattered clouds,26.1842,127.7558,Minshuku Agaihama
406,Semey,KZ,84.42,clear sky,50.4111,80.2275,Grand Hotel Semey
412,Muroto,JP,81.27,broken clouds,33.2833,134.15,Oota Ryokan
413,Hun,LY,75.09,clear sky,29.1268,15.9477,Alrwasi Hotel
414,Mareeba,AU,77.43,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
418,Kavaratti,IN,81.82,overcast clouds,10.5669,72.642,Green leaf
421,Wajima,JP,84.88,broken clouds,37.4,136.9,Wajiima Onsen Yashio
422,Lingyuan,CN,80.02,broken clouds,41.24,119.4011,Guomao Hotel
425,Mastung,PK,83.97,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
427,Ha Tinh,VN,86.41,broken clouds,18.3333,105.9,Phú Quý
431,Digras,IN,75.22,heavy intensity rain,20.1167,77.7167,Swad Restaurant
432,Uyskoye,RU,76.66,broken clouds,54.3775,60.0047,Niva
