City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Fukuma,JP,33.7667,130.4667,85.28,78,94,10.8,overcast clouds
289,Plouzane,FR,48.3833,-4.6167,70.12,83,0,6.91,clear sky
290,Fairbanks,US,64.8378,-147.7164,68.34,88,40,6.91,mist
291,Abha,SA,18.2164,42.5053,68.25,64,40,4.61,scattered clouds
292,Hobyo,SO,5.3505,48.5268,81.09,66,65,21.34,broken clouds
293,Garowe,SO,8.4054,48.4845,81.12,50,50,28.21,scattered clouds
294,Lagoa,PT,39.05,-27.9833,66.96,92,24,7.92,few clouds
295,Norman Wells,CA,65.282,-126.8329,64.44,77,75,2.3,broken clouds
296,Castro,BR,-24.7911,-50.0119,64.69,51,94,16.53,overcast clouds
297,Mayo,US,38.8876,-76.5119,73.94,86,0,8.05,clear sky
298,Tiznit,MA,29.5833,-9.5,75.97,36,79,1.21,broken clouds
299,Mamallapuram,IN,12.6264,80.1722,89.65,51,100,21.18,overcast clouds
300,Galle,LK,6.0367,80.217,82.67,75,85,14.45,overcast clouds
301,Cairns,AU,-16.9167,145.7667,82.06,68,38,8.05,scattered clouds
302,Kenai,US,60.5544,-151.2583,68.09,82,0,12.66,clear sky
303,Almaznyy,RU,48.0448,40.045,74.91,43,0,7.05,clear sky
304,Mount Gambier,AU,-37.8333,140.7667,48.11,93,40,5.75,shower rain
305,Saint-Denis,FR,48.9167,2.3333,72.23,73,0,4.61,clear sky
306,Farafenni,GM,13.5667,-15.6,78.37,84,78,3.56,broken clouds
307,Romano Di Lombardia,IT,45.5246,9.7484,77.04,61,75,2.3,broken clouds
308,Chik,RU,54.9928,82.4311,76.75,44,0,11.18,clear sky
309,Chirongui,YT,-12.9319,45.1483,78.73,71,4,15.19,clear sky
310,Lanxi,CN,29.2195,119.477,98.11,52,99,3.4,overcast clouds
311,Vestmannaeyjar,IS,63.4427,-20.2734,51.46,90,100,13.53,overcast clouds
312,Oussouye,SN,12.485,-16.5469,77.63,90,64,4.09,broken clouds
313,Botwood,CA,49.1499,-55.3482,57.9,72,100,8.88,overcast clouds
314,Kruisfontein,ZA,-34.0033,24.7314,49.48,76,0,6.13,clear sky
315,Rogovatoye,RU,51.23,38.3818,65.75,69,79,11.1,broken clouds
316,Dukat,RU,62.55,155.55,85.75,32,38,15.77,scattered clouds
317,Hami,CN,42.8,93.45,95.2,10,75,8.21,broken clouds
318,Hualmay,PE,-11.0964,-77.6139,60.37,85,31,5.73,scattered clouds
319,Oistins,BB,13.0667,-59.5333,80.69,83,20,20.71,few clouds
320,Roberval,CA,48.5168,-72.2324,70.43,64,100,13.8,overcast clouds
321,Manta,EC,-0.95,-80.7333,69.58,88,100,5.75,overcast clouds
322,Codrington,AU,-38.2667,141.9667,52.81,65,50,5.17,scattered clouds
323,Banfora,BF,10.6333,-4.7667,72.18,94,29,7.2,scattered clouds
324,Clyde River,CA,70.4692,-68.5914,37.63,100,100,12.66,overcast clouds
325,Qui Nhon,VN,13.7667,109.2333,82.67,79,78,3.13,broken clouds
326,Elizabeth City,US,36.2946,-76.2511,71.62,94,100,4.21,overcast clouds
327,Paamiut,GL,61.994,-49.6678,39.36,92,77,10.58,broken clouds
328,Strezhevoy,RU,60.7333,77.5889,68.27,40,78,11.61,broken clouds
329,Mbour,SN,14.422,-16.9638,77.85,84,22,11.25,few clouds
330,Bayji,IQ,34.9311,43.487,95.94,28,0,13.47,clear sky
331,Pakxan,LA,18.3778,103.6601,89.46,65,78,2.93,broken clouds
332,Olinda,BR,-8.0089,-34.8553,74.93,88,75,3.44,broken clouds
333,Svetlaya,RU,46.5389,138.3297,64.65,94,100,6.69,overcast clouds
334,Dingle,PH,10.9995,122.6711,84.74,72,100,5.46,overcast clouds
335,Panama City,PA,8.9936,-79.5197,79.18,89,100,11.5,overcast clouds
336,Kununurra,AU,-15.7667,128.7333,80.58,12,11,10.36,few clouds
337,Mangrol,IN,21.1167,70.1167,81.97,82,100,19.04,overcast clouds
338,Mananara,MG,-16.1667,49.7667,71.74,87,44,10.18,light rain
339,Colares,PT,38.7992,-9.4469,75.33,59,97,7.0,overcast clouds
340,Druzhba,UA,52.0428,33.9453,60.89,81,55,15.32,broken clouds
